POSTCODE,LON,LAT
00737,-47.5239783,-15.3808517
00738,-47.44991,-15.2487533
00740,-49.301685,-16.6088405
00750,-48.9727064,-16.3559585
00751,-48.9658269,-16.3624192
00755,-46.55833415,-23.46834415
00757,-47.5252383,-17.6974983
00758,-51.586885,-18.16032
00759,-50.91817165,-17.187803350000003
00771,-47.7571817,-17.993045
00778,-48.1729567,-7.2030383
00780,-56.1196773,-15.6132469
00781,-56.2877217,-15.6119967
00787,-54.5014433,-16.5495533
00793,-57.0892533,-18.730015
00796,-51.8451867,-20.677825
00798,-54.75182165,-22.2701733
00803,-49.209505,-25.6224517
00812,-46.3939364,-23.5170522
00814,-46.3808489,-23.5156682
00822,-46.4604398,-23.5265878
00825,-46.432673,-23.53384
00829,-46.4483829,-23.55437
00830,-49.2153683,-25.5859783
00831,-49.25050585,-25.2993775
00833,-49.09263915,-25.5110333
00842,-50.6067636,-24.3437422
00849,-46.38303,-23.5799867
00850,-51.5301383,-25.46622
00851,-52.7335183,-26.0511492
00852,-46.6084625,-23.45005
00860,-46.282378300000005,-23.642354150000003
00861,-51.08145,-23.48374
00867,-51.48944,-23.4281733
00870,-46.17710665,-23.5829442
00874,-46.312205,-23.543424
00875,-53.3379583,-23.8234533
00890,-49.10814,-26.7050967
00892,-49.15277915,-26.5645625
00898,-52.5431067,-27.1180633
00900,-64.381935,-9.3179217
00908,-39.075635,-12.1349533
00914,-48.18437,-7.2652817
00940,-51.00657085,-30.10611
00960,-52.5071167,-31.431965
00968,-52.3763717,-29.650115
00971,-53.97232335,-29.7293133
00972,-46.52919165,-23.7581258
00978,-46.53840835,-23.72873585
00979,-46.53691,-23.7424733
00980,-53.6152316,-28.6286152
00981,-53.573925,-28.56157665
00983,-46.53186415,-23.7537108
00984,-47.887875,-16.3804633
00985,-53.25649,-28.6844983
00991,-52.4742833,-28.3179825
00999,-50.05688165,-24.8662625
01000,-46.535857,-23.514612
01001,-46.6336932,-23.5493251
01002,-46.63475115,-23.54856015
01003,-46.6357037,-23.5489469
01004,-46.6343569,-23.5495458
01005,-46.635077,-23.5498527
01006,-46.6358498,-23.5502991
01007,-46.6376752,-23.5501893
01008,-46.6362727,-23.5466581
01009,-46.6360751,-23.5461494
01010,-46.635546,-23.5469885
01011,-46.636365,-23.5484365
01012,-46.634521,-23.5479186
01013,-46.6341455,-23.5473364
01014,-46.6333741,-23.5469068
01015,-46.6325452,-23.5466138
01016,-46.63151165,-23.5493572
01017,-46.6311578,-23.5499208
01018,-46.6329824,-23.5516014
01019,-46.631061,-23.5518124
01020,-46.6301488,-23.5525467
01021,-46.6309288,-23.5477893
01022,-46.6331043,-23.5446987
01023,-46.630684,-23.5410315
01024,-46.6271627,-23.5383881
01025,-46.632411,-23.5406675
01026,-46.6313465,-23.539775
01027,-46.6281441,-23.5390401
01028,-46.636125,-23.536122
01029,-46.6334939,-23.5436577
01030,-46.6328645,-23.5381745
01031,-46.6337179,-23.5402829
01032,-46.6342535,-23.5367975
01033,-46.63629,-23.540428
01034,-46.6381753,-23.5408724
01035,-46.639606,-23.542732
01036,-46.637196,-23.5439895
01037,-46.6398593,-23.5462607
01038,-46.639509,-23.543439
01039,-46.637281,-23.5400655
01040,-46.6368481,-23.5400136
01041,-46.639397,-23.5444125
01042,-46.6403115,-23.5448885
01043,-46.6416683,-23.5453358
01044,-46.6419649,-23.5448263
01045,-46.6428345,-23.5444765
01046,-46.6430203,-23.5464499
01047,-46.6404466,-23.5457089
01048,-46.6405856,-23.5475299
01049,-46.6387352,-23.5473369
01050,-46.6436965,-23.5487141
01101,-46.6312545,-23.5263696
01102,-46.6293485,-23.5224925
01103,-46.631472,-23.535471
01104,-46.628683,-23.535212
01105,-46.628133,-23.5335795
01106,-46.6293085,-23.5276263
01107,-46.6266945,-23.529732
01108,-46.6267995,-23.530533
01109,-46.6255826,-23.526895
01115,-48.157505,-7.252985
01117,-46.6426602,-23.530339
01120,-46.639579,-23.5281244
01121,-46.6362835,-23.5307685
01122,-46.6368935,-23.5318513
01123,-46.634799,-23.529201
01124,-46.6338447,-23.5290691
01125,-46.6395195,-23.52762
01126,-46.6405611,-23.5269744
01127,-46.6400002,-23.524442
01128,-46.6444365,-23.5242595
01129,-46.6437425,-23.5227875
01130,-46.6446037,-23.5250566
01131,-46.6436145,-23.5249295
01132,-46.6482401,-23.5240386
01133,-46.6497513,-23.524696
01134,-46.6511413,-23.5217554
01135,-46.6527974,-23.5239681
01136,-46.6546744,-23.5257248
01137,-46.6541563,-23.5238485
01138,-46.6535175,-23.521941
01139,-46.6841169,-23.5166065
01140,-46.6691533,-23.5192626
01141,-46.6726705,-23.5211043
01142,-46.6842069,-23.5110454
01144,-46.6729139,-23.5226505
01150,-46.6580778,-23.5321909
01151,-46.6556741,-23.5318733
01152,-46.655212,-23.5304599
